TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;08;08137;01610532;040069344;08137001;1;2;00112201002;9;2012;2;2;;1;;;3.3815707875;3.0977454634;12;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;1;2;00112201001;12;2012;2;2;;1;;;3.4857816937;3.1932096373;12;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;1;1;00131701001;10;2012;2;2;;1;;;19.595591498;17.950875046;12;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;1;1;09999999903;1;2013;2;;;;;;2.4990844638;2.2893288495;;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;7001;2;00112201001;12;2012;2;2;;1;;;3.5766909929;3.2764886478;12;1.091623191;1.091623191
4;170;08;08137;01610627;000022161;08137001;1;2;00112201001;9;2012;2;2;;1;;;2.7984782659;3.2274187342;12;0.8670948818;0.8670948818
4;170;08;08137;01610627;000022161;08137001;1;2;00112201002;6;2013;2;2;;1;;;2.8519209646;3.2890529334;12;0.8670948818;0.8670948818
4;170;08;08137;01610627;000022161;08137001;1;2;00112201001;6;2013;2;2;;1;;;2.9471263177;3.3988510133;12;0.8670948818;0.8670948818
4;170;08;08137;01610627;000022161;08137001;1;2;00112201002;9;2012;2;2;;1;;;3.0891455591;3.5626384424;12;0.8670948818;0.8670948818
4;170;08;08137;01610627;000022161;08137001;1;1;09999999903;1;2013;2;;;;;;1.8786044705;2.1665500627;;0.8670948818;0.8670948818
4;170;08;08137;01610627;000022161;08137001;1;2;00159301001;4;2013;2;2;;1;;;0;;12;0.8670948818;0
4;170;08;08137;01610627;000022161;08137001;2;1;09999999903;1;2013;1;;;;;;0.5117559734;2.2792492198;;0.2245283091;0.2245283091
4;170;08;08137;01610627;040069226;08137001;1;2;00159301001;4;2013;2;2;;1;;;0;;12;1.6978556527;0
4;170;08;08137;01610627;040069226;08137001;1;2;00112201001;6;2013;2;2;;1;;;5.4826347215;3.2291524388;12;1.6978556527;1.6978556527
4;170;08;08137;01610627;040069226;08137001;1;2;00112201001;9;2012;2;2;;1;;;5.8962323445;3.4727524305;12;1.6978556527;1.6978556527
4;170;08;08137;01610627;040069226;08137001;1;2;00112201002;6;2013;2;2;;1;;;5.6463877472;3.3255994044;12;1.6978556527;1.6978556527
4;170;08;08137;01610627;040069226;08137001;1;2;00112201002;9;2012;2;2;;1;;;6.1677899215;3.6326939288;12;1.6978556527;1.6978556527
4;170;08;08137;01610627;040069226;08137001;1;2;00123502001;7;2013;2;2;;1;;;17.214699385;10.139083;12;1.6978556527;1.6978556527
4;170;08;08137;01610627;040069226;08137001;2;1;09999999903;1;2013;1;;;;;;0.9731127241;2.2133897953;;0.4396481479;0.4396481479
4;170;08;08137;01610694;000022947;08137001;1;1;09999999903;1;2013;2;;;;;;0.6932857549;2.2910765922;;0.3026026093;0.3026026093
4;170;08;08137;01610694;000022947;08137001;1;2;00112201001;6;2013;2;2;;1;;;1.060481571;3.5045354486;12;0.3026026093;0.3026026093
4;170;08;08137;01610694;000022947;08137001;1;2;00112201001;9;2012;2;2;;1;;;0.9885584985;3.266853848;12;0.3026026093;0.3026026093
4;170;08;08137;01610694;000022947;08137001;1;2;00112201002;6;2013;2;2;;1;;;1.0315328785;3.4088697417;12;0.3026026093;0.3026026093
4;170;08;08137;01610694;000022947;08137001;1;2;00112201002;9;2012;2;2;;1;;;0.9535950893;3.1513115222;12;0.3026026093;0.3026026093
4;170;08;08137;01610694;000022947;08137001;1;1;00131701001;2;2012;2;2;;1;;;5.4319816275;17.950875046;12;0.3026026093;0.3026026093
4;170;08;08137;01610694;040069580;08137001;1;1;00132201001;1;1992;2;;;;;;1.1446647874;13.946702243;;0.0820742257;0.0820742257
4;170;08;08137;01610694;040069580;08137001;1;2;00112201001;9;2012;2;2;;1;;;0.2736371943;3.3340210288;12;0.0820742257;0.0820742257
4;170;08;08137;01610694;040069580;08137001;1;2;00112201002;6;2013;2;2;;1;;;0.2658232792;3.2388155596;12;0.0820742257;0.0820742257
4;170;08;08137;01610694;040069580;08137001;1;2;00112201001;6;2013;2;2;;1;;;0.2725793042;3.3211315968;12;0.0820742257;0.0820742257
4;170;08;08137;01610694;040069580;08137001;1;2;00112201002;9;2012;2;2;;1;;;0.2615572416;3.1868377611;12;0.0820742257;0.0820742257
